"Date","Price","Open","High","Low","Vol.","Change %"
"2021-05-14","1.2102","1.2159","1.2180","1.2078","76.14K","-0.48%"
"2021-05-13","1.2160","1.2133","1.2204","1.2102","97.46K","0.24%"
"2021-05-12","1.2131","1.2102","1.2139","1.2044","94.28K","0.26%"
"2021-05-11","1.2099","1.2097","1.2126","1.2077","85.37K","0.02%"
"2021-05-10","1.2097","1.2157","1.2157","1.2076","75.80K","-0.27%"
"2021-05-07","1.2130","1.2148","1.2194","1.2123","76.27K","-0.15%"
"2021-05-06","1.2148","1.2268","1.2290","1.2143","79.87K","-0.95%"
"2021-05-05","1.2264","1.2307","1.2316","1.2250","68.39K","-0.37%"
"2021-05-04","1.2309","1.2277","1.2352","1.2272","80.75K","0.27%"
"2021-05-03","1.2276","1.2289","1.2319","1.2264","58.24K","-0.11%"
"2021-04-30","1.2289","1.2282","1.2323","1.2264","76.95K","0.08%"
"2021-04-29","1.2279","1.2316","1.2326","1.2273","76.64K","-0.27%"
"2021-04-28","1.2312","1.2399","1.2419","1.2308","75.43K","-0.65%"
"2021-04-27","1.2393","1.2398","1.2420","1.2386","69.90K","-0.02%"
"2021-04-26","1.2395","1.2482","1.2492","1.2381","77.36K","-0.64%"
"2021-04-23","1.2475","1.2508","1.2510","1.2459","70.30K","-0.23%"
"2021-04-22","1.2504","1.2497","1.2536","1.2470","80.66K","0.06%"
"2021-04-21","1.2496","1.2609","1.2653","1.2457","78.55K","-0.88%"
"2021-04-20","1.2607","1.2533","1.2624","1.2476","80.42K","0.60%"
"2021-04-19","1.2532","1.2494","1.2545","1.2469","72.06K","0.22%"
"2021-04-16","1.2504","1.2542","1.2560","1.2492","69.86K","-0.30%"
"2021-04-15","1.2541","1.2521","1.2560","1.2474","76.31K","0.17%"
"2021-04-14","1.2520","1.2536","1.2577","1.2498","72.75K","-0.09%"
"2021-04-13","1.2531","1.2562","1.2630","1.2525","72.59K","-0.24%"
"2021-04-12","1.2561","1.2534","1.2575","1.2525","72.02K","0.27%"
"2021-04-09","1.2527","1.2563","1.2613","1.2523","76.00K","-0.28%"
"2021-04-08","1.2562","1.2607","1.2628","1.2556","73.39K","-0.36%"
"2021-04-07","1.2607","1.2566","1.2636","1.2562","81.01K","0.35%"
"2021-04-06","1.2563","1.2524","1.2584","1.2514","68.90K","0.34%"
"2021-04-05","1.2521","1.2576","1.2595","1.2499","58.93K","-0.41%"
"2021-04-02","1.2573","1.2547","1.2582","1.2525","43.25K","0.22%"
"2021-04-01","1.2545","1.2562","1.2603","1.2541","73.81K","-0.10%"
"2021-03-31","1.2558","1.2633","1.2636","1.2537","73.62K","-0.60%"
"2021-03-30","1.2634","1.2591","1.2648","1.2578","72.01K","0.37%"
"2021-03-29","1.2588","1.2574","1.2628","1.2569","59.13K","0.10%"
"2021-03-26","1.2576","1.2611","1.2614","1.2558","70.96K","-0.27%"
"2021-03-25","1.2610","1.2577","1.2630","1.2544","82.61K","0.28%"
"2021-03-24","1.2575","1.2585","1.2609","1.2540","75.99K","-0.08%"
"2021-03-23","1.2585","1.2519","1.2596","1.2514","78.77K","0.52%"
"2021-03-22","1.2520","1.2502","1.2543","1.2471","67.25K","0.18%"
"2021-03-19","1.2497","1.2488","1.2549","1.2459","85.40K","0.10%"
"2021-03-18","1.2484","1.2405","1.2528","1.2363","89.15K","0.68%"
"2021-03-17","1.2400","1.2448","1.2494","1.2399","72.73K","-0.35%"
"2021-03-16","1.2443","1.2471","1.2501","1.2433","72.55K","-0.20%"
"2021-03-15","1.2468","1.2471","1.2514","1.2441","61.54K","-0.02%"
"2021-03-12","1.2471","1.2532","1.2574","1.2459","81.09K","-0.44%"
"2021-03-11","1.2526","1.2617","1.2627","1.2518","80.50K","-0.72%"
"2021-03-10","1.2617","1.2637","1.2685","1.2607","91.59K","-0.13%"
"2021-03-09","1.2634","1.2663","1.2687","1.2588","100.31K","-0.21%"
"2021-03-08","1.2660","1.2662","1.2701","1.2620","111.22K","0.04%"
"2021-03-05","1.2655","1.2665","1.2738","1.2643","113.89K","-0.08%"
"2021-03-04","1.2665","1.2656","1.2694","1.2573","115.02K","0.09%"
"2021-03-03","1.2653","1.2633","1.2659","1.2590","95.97K","0.17%"
"2021-03-02","1.2631","1.2648","1.2700","1.2598","105.29K","-0.11%"
"2021-03-01","1.2645","1.2723","1.2740","1.2638","97.92K","-0.74%"
"2021-02-26","1.2739","1.2603","1.2751","1.2585","129.87K","1.11%"
"2021-02-25","1.2599","1.2512","1.2615","1.2466","107.50K","0.70%"
"2021-02-24","1.2511","1.2586","1.2599","1.2503","94.38K","-0.60%"
"2021-02-23","1.2587","1.2611","1.2648","1.2577","92.83K","-0.18%"
"2021-02-22","1.2610","1.2623","1.2655","1.2578","90.52K","0.00%"
"2021-02-19","1.2610","1.2679","1.2715","1.2592","86.94K","-0.53%"
"2021-02-18","1.2677","1.2704","1.2731","1.2663","84.95K","-0.17%"
"2021-02-17","1.2699","1.2689","1.2746","1.2683","89.02K","0.10%"
"2021-02-16","1.2686","1.2645","1.2703","1.2608","76.80K","0.38%"
"2021-02-15","1.2638","1.2694","1.2694","1.2628","50.29K","-0.44%"
"2021-02-12","1.2694","1.2702","1.2764","1.2674","69.17K","-0.06%"
"2021-02-11","1.2702","1.2699","1.2713","1.2658","77.21K","0.02%"
"2021-02-10","1.2699","1.2690","1.2714","1.2665","81.71K","0.05%"
"2021-02-09","1.2693","1.2739","1.2766","1.2690","81.17K","-0.35%"
"2021-02-08","1.2738","1.2767","1.2784","1.2733","77.14K","-0.10%"
"2021-02-05","1.2751","1.2828","1.2834","1.2749","79.24K","-0.58%"
"2021-02-04","1.2825","1.2785","1.2846","1.2775","75.87K","0.34%"
"2021-02-03","1.2781","1.2781","1.2813","1.2761","81.19K","0.01%"
"2021-02-02","1.2780","1.2851","1.2871","1.2778","92.21K","-0.54%"
"2021-02-01","1.2849","1.2777","1.2866","1.2759","106.03K","0.56%"
"2021-01-29","1.2777","1.2830","1.2876","1.2736","114.10K","-0.40%"
"2021-01-28","1.2828","1.2798","1.2882","1.2785","108.30K","0.23%"
"2021-01-27","1.2798","1.2694","1.2823","1.2683","97.06K","0.86%"
"2021-01-26","1.2689","1.2738","1.2783","1.2688","75.23K","-0.38%"
"2021-01-25","1.2738","1.2719","1.2780","1.2685","81.17K","0.02%"
"2021-01-22","1.2735","1.2637","1.2743","1.2631","78.86K","0.81%"
"2021-01-21","1.2633","1.2637","1.2649","1.2588","74.84K","0.03%"
"2021-01-20","1.2629","1.2737","1.2747","1.2604","74.67K","-0.80%"
"2021-01-19","1.2731","1.2759","1.2765","1.2712","70.05K","-0.18%"
"2021-01-18","1.2754","1.2734","1.2801","1.2724","80.57K","0.17%"
"2021-01-15","1.2732","1.2634","1.2765","1.2634","83.87K","0.77%"
"2021-01-14","1.2635","1.2699","1.2711","1.2623","78.76K","-0.46%"
"2021-01-13","1.2694","1.2708","1.2747","1.2678","76.93K","-0.11%"
